transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,2000,0.875,0.805,0.945,0.95995,0
jpeg_q90,2000,0.8865,0.842,0.931,0.961006,0
jpeg_q70,2000,0.8715,0.82,0.923,0.9525249999999998,0
jpeg_q50,2000,0.8325,0.718,0.947,0.94321,0
jpeg_q30,2000,0.84,0.739,0.941,0.947136,0
blur_s0.5,2000,0.894,0.861,0.927,0.963351,0
blur_s1.0,2000,0.897,0.908,0.886,0.9605140000000001,0
blur_s2.0,2000,0.8375,0.738,0.937,0.935937,0
resize_0.5x,2000,0.8795,0.825,0.934,0.9574340000000001,0
resize_0.25x,2000,0.8365,0.724,0.949,0.943727,0
noise_s0.02,2000,0.846,0.773,0.919,0.934538,0
noise_s0.05,2000,0.8305,0.735,0.926,0.9354829999999998,0
noise_s0.1,2000,0.8225,0.743,0.902,0.9204479999999998,0
jitter_20pct,2000,0.871,0.8,0.942,0.9574320000000001,0
crop_80pct,2000,0.879,0.825,0.933,0.956094,0
