transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.968,0.946,0.99,0.9961039999999999,0
jpeg_q90,1000,0.973,0.956,0.99,0.9964,0
jpeg_q70,1000,0.973,0.966,0.98,0.9966,0
jpeg_q50,1000,0.978,0.97,0.986,0.9974959999999999,0
jpeg_q30,1000,0.979,0.982,0.976,0.997452,0
blur_s0.5,1000,0.979,0.968,0.99,0.997368,0
blur_s1.0,1000,0.982,0.978,0.986,0.997792,0
blur_s2.0,1000,0.972,0.966,0.978,0.995012,0
resize_0.5x,1000,0.976,0.958,0.994,0.9970519999999999,0
resize_0.25x,1000,0.981,0.98,0.982,0.997604,0
noise_s0.02,1000,0.968,0.972,0.964,0.996664,0
noise_s0.05,1000,0.962,0.984,0.94,0.995724,0
noise_s0.1,1000,0.96,0.994,0.926,0.9972159999999999,0
jitter_20pct,1000,0.965,0.938,0.992,0.995428,0
crop_80pct,1000,0.958,0.972,0.944,0.9933799999999999,0
