transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.986,0.982,0.99,0.998608,0
jpeg_q90,1000,0.983,0.976,0.99,0.9980600000000001,0
jpeg_q70,1000,0.981,0.978,0.984,0.9981279999999999,0
jpeg_q50,1000,0.984,0.978,0.99,0.9984120000000001,0
jpeg_q30,1000,0.985,0.986,0.984,0.99866,0
blur_s0.5,1000,0.988,0.986,0.99,0.998992,0
blur_s1.0,1000,0.989,0.988,0.99,0.999024,0
blur_s2.0,1000,0.975,0.968,0.982,0.9975240000000001,0
resize_0.5x,1000,0.987,0.984,0.99,0.998956,0
resize_0.25x,1000,0.987,0.988,0.986,0.998684,0
noise_s0.02,1000,0.978,0.992,0.964,0.997496,0
noise_s0.05,1000,0.971,0.994,0.948,0.99626,0
noise_s0.1,1000,0.971,0.992,0.95,0.9960800000000001,0
jitter_20pct,1000,0.983,0.976,0.99,0.998016,0
crop_80pct,1000,0.977,0.98,0.974,0.997116,0
