transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.969,0.96,0.978,0.996872,0
jpeg_q90,1000,0.971,0.962,0.98,0.9960800000000001,0
jpeg_q70,1000,0.969,0.966,0.972,0.9961679999999999,0
jpeg_q50,1000,0.968,0.956,0.98,0.996044,0
jpeg_q30,1000,0.969,0.96,0.978,0.996224,0
blur_s0.5,1000,0.978,0.978,0.978,0.997684,0
blur_s1.0,1000,0.981,0.982,0.98,0.99786,0
blur_s2.0,1000,0.953,0.932,0.974,0.992168,0
resize_0.5x,1000,0.975,0.97,0.98,0.997604,0
resize_0.25x,1000,0.971,0.972,0.97,0.99644,0
noise_s0.02,1000,0.969,0.978,0.96,0.994684,0
noise_s0.05,1000,0.961,0.97,0.952,0.992356,0
noise_s0.1,1000,0.966,0.978,0.954,0.9923839999999999,0
jitter_20pct,1000,0.966,0.952,0.98,0.995464,0
crop_80pct,1000,0.959,0.966,0.952,0.9938319999999999,0
