transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.965,0.938,0.992,0.9975560000000001,0
jpeg_q90,1000,0.965,0.936,0.994,0.9970720000000001,0
jpeg_q70,1000,0.974,0.958,0.99,0.997028,0
jpeg_q50,1000,0.967,0.942,0.992,0.997468,0
jpeg_q30,1000,0.976,0.96,0.992,0.997884,0
blur_s0.5,1000,0.976,0.96,0.992,0.998272,0
blur_s1.0,1000,0.976,0.958,0.994,0.99832,0
blur_s2.0,1000,0.954,0.916,0.992,0.9950680000000001,0
resize_0.5x,1000,0.966,0.938,0.994,0.9979880000000001,0
resize_0.25x,1000,0.975,0.956,0.994,0.997796,0
noise_s0.02,1000,0.976,0.966,0.986,0.996868,0
noise_s0.05,1000,0.973,0.968,0.978,0.99534,0
noise_s0.1,1000,0.978,0.978,0.978,0.995576,0
jitter_20pct,1000,0.963,0.934,0.992,0.996852,0
crop_80pct,1000,0.973,0.962,0.984,0.9953919999999999,0
