transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.966,0.94,0.992,0.99736,0
jpeg_q90,1000,0.966,0.938,0.994,0.9969760000000001,0
jpeg_q70,1000,0.976,0.962,0.99,0.9969680000000001,0
jpeg_q50,1000,0.97,0.95,0.99,0.9975,0
jpeg_q30,1000,0.979,0.968,0.99,0.997824,0
blur_s0.5,1000,0.978,0.964,0.992,0.998156,0
blur_s1.0,1000,0.98,0.966,0.994,0.998236,0
blur_s2.0,1000,0.957,0.926,0.988,0.995104,0
resize_0.5x,1000,0.968,0.942,0.994,0.997876,0
resize_0.25x,1000,0.977,0.96,0.994,0.997768,0
noise_s0.02,1000,0.973,0.966,0.98,0.996828,0
noise_s0.05,1000,0.972,0.974,0.97,0.995428,0
noise_s0.1,1000,0.977,0.982,0.972,0.9957440000000001,0
jitter_20pct,1000,0.965,0.938,0.992,0.996732,0
crop_80pct,1000,0.972,0.964,0.98,0.995128,0
