transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.977,0.962,0.992,0.996972,0
jpeg_q90,1000,0.978,0.964,0.992,0.9964360000000001,0
jpeg_q70,1000,0.978,0.97,0.986,0.996568,0
jpeg_q50,1000,0.978,0.968,0.988,0.99748,0
jpeg_q30,1000,0.983,0.982,0.984,0.997768,0
blur_s0.5,1000,0.983,0.976,0.99,0.997836,0
blur_s1.0,1000,0.984,0.978,0.99,0.9981279999999999,0
blur_s2.0,1000,0.97,0.958,0.982,0.996324,0
resize_0.5x,1000,0.981,0.97,0.992,0.9978520000000001,0
resize_0.25x,1000,0.983,0.98,0.986,0.998324,0
noise_s0.02,1000,0.973,0.982,0.964,0.996852,0
noise_s0.05,1000,0.969,0.992,0.946,0.995612,0
noise_s0.1,1000,0.97,0.99,0.95,0.9963919999999999,0
jitter_20pct,1000,0.971,0.952,0.99,0.996124,0
crop_80pct,1000,0.973,0.974,0.972,0.995616,0
