transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.959,0.972,0.946,0.993728,0
jpeg_q90,1000,0.956,0.974,0.938,0.9938359999999999,0
jpeg_q70,1000,0.957,0.984,0.93,0.994564,0
jpeg_q50,1000,0.961,0.984,0.938,0.9947079999999999,0
jpeg_q30,1000,0.956,0.994,0.918,0.99556,0
blur_s0.5,1000,0.965,0.986,0.944,0.9956879999999999,0
blur_s1.0,1000,0.962,0.99,0.934,0.9963600000000001,0
blur_s2.0,1000,0.944,0.986,0.902,0.993676,0
resize_0.5x,1000,0.961,0.978,0.944,0.9947280000000001,0
resize_0.25x,1000,0.956,0.992,0.92,0.9967400000000001,0
jitter_20pct,1000,0.958,0.976,0.94,0.9933799999999999,0
crop_80pct,1000,0.926,0.98,0.872,0.990728,0
