transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.823,0.678,0.968,0.9499120000000001,0
jpeg_q90,1000,0.832,0.7,0.964,0.9509119999999999,0
jpeg_q70,1000,0.836,0.714,0.958,0.94874,0
jpeg_q50,1000,0.808,0.672,0.944,0.9334439999999999,0
jpeg_q30,1000,0.866,0.792,0.94,0.95574,0
blur_s0.5,1000,0.863,0.76,0.966,0.962844,0
blur_s1.0,1000,0.889,0.816,0.962,0.969396,0
blur_s2.0,1000,0.867,0.79,0.944,0.9546560000000001,0
resize_0.5x,1000,0.826,0.688,0.964,0.951416,0
resize_0.25x,1000,0.912,0.858,0.966,0.9794160000000001,0
jitter_20pct,1000,0.813,0.662,0.964,0.944292,0
crop_80pct,1000,0.819,0.688,0.95,0.9391879999999999,0
