transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.917,0.884,0.95,0.98256,0
jpeg_q90,1000,0.922,0.888,0.956,0.981864,0
jpeg_q70,1000,0.931,0.91,0.952,0.984604,0
jpeg_q50,1000,0.925,0.898,0.952,0.981632,0
jpeg_q30,1000,0.936,0.932,0.94,0.984356,0
blur_s0.5,1000,0.936,0.924,0.948,0.986896,0
blur_s1.0,1000,0.94,0.932,0.948,0.9880360000000001,0
blur_s2.0,1000,0.916,0.904,0.928,0.976284,0
resize_0.5x,1000,0.918,0.884,0.952,0.98146,0
resize_0.25x,1000,0.926,0.906,0.946,0.9831639999999999,0
jitter_20pct,1000,0.923,0.902,0.944,0.982244,0
crop_80pct,1000,0.916,0.932,0.9,0.9766079999999999,0
