transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.921,0.9,0.942,0.980876,0
jpeg_q90,1000,0.92,0.896,0.944,0.9802759999999999,0
jpeg_q70,1000,0.931,0.926,0.936,0.9828920000000001,0
jpeg_q50,1000,0.924,0.904,0.944,0.979456,0
jpeg_q30,1000,0.934,0.936,0.932,0.9821399999999999,0
blur_s0.5,1000,0.941,0.938,0.944,0.986068,0
blur_s1.0,1000,0.942,0.946,0.938,0.987824,0
blur_s2.0,1000,0.917,0.918,0.916,0.97508,0
resize_0.5x,1000,0.921,0.898,0.944,0.980188,0
resize_0.25x,1000,0.922,0.914,0.93,0.982644,0
jitter_20pct,1000,0.923,0.908,0.938,0.980588,0
crop_80pct,1000,0.908,0.932,0.884,0.973544,0
