transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.964,0.952,0.976,0.9950479999999999,0
jpeg_q90,1000,0.971,0.964,0.978,0.99556,0
jpeg_q70,1000,0.966,0.968,0.964,0.9958400000000001,0
jpeg_q50,1000,0.972,0.972,0.972,0.996756,0
jpeg_q30,1000,0.973,0.984,0.962,0.99674,0
blur_s0.5,1000,0.977,0.976,0.978,0.99668,0
blur_s1.0,1000,0.979,0.98,0.978,0.997112,0
blur_s2.0,1000,0.964,0.966,0.962,0.9936039999999999,0
resize_0.5x,1000,0.969,0.956,0.982,0.996076,0
resize_0.25x,1000,0.975,0.982,0.968,0.9969080000000001,0
jitter_20pct,1000,0.961,0.944,0.978,0.9943919999999999,0
crop_80pct,1000,0.951,0.976,0.926,0.993252,0
