transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.966,0.944,0.988,0.99556,0
jpeg_q90,1000,0.971,0.952,0.99,0.995832,0
jpeg_q70,1000,0.972,0.964,0.98,0.9959760000000001,0
jpeg_q50,1000,0.973,0.962,0.984,0.996748,0
jpeg_q30,1000,0.978,0.978,0.978,0.9967760000000001,0
blur_s0.5,1000,0.976,0.966,0.986,0.9969760000000001,0
blur_s1.0,1000,0.982,0.978,0.986,0.9974000000000001,0
blur_s2.0,1000,0.966,0.962,0.97,0.99436,0
resize_0.5x,1000,0.972,0.956,0.988,0.9967360000000001,0
resize_0.25x,1000,0.978,0.978,0.978,0.997472,0
noise_s0.02,1000,0.967,0.972,0.962,0.996096,0
noise_s0.05,1000,0.962,0.984,0.94,0.99522,0
noise_s0.1,1000,0.954,0.994,0.914,0.99688,0
jitter_20pct,1000,0.963,0.938,0.988,0.994804,0
crop_80pct,1000,0.959,0.968,0.95,0.993844,0
