transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.88,0.886,0.874,0.94896,0
jpeg_q90,1000,0.877,0.888,0.866,0.9506760000000001,0
jpeg_q70,1000,0.868,0.902,0.834,0.94536,0
jpeg_q50,1000,0.842,0.85,0.834,0.9295760000000001,0
jpeg_q30,1000,0.865,0.918,0.812,0.9496920000000001,0
blur_s0.5,1000,0.895,0.924,0.866,0.962284,0
blur_s1.0,1000,0.901,0.938,0.864,0.96752,0
blur_s2.0,1000,0.858,0.894,0.822,0.938724,0
resize_0.5x,1000,0.874,0.876,0.872,0.94546,0
resize_0.25x,1000,0.903,0.93,0.876,0.9694560000000001,0
noise_s0.02,1000,0.873,0.918,0.828,0.941464,0
noise_s0.05,1000,0.823,0.91,0.736,0.9189480000000001,0
noise_s0.1,1000,0.827,0.93,0.724,0.930064,0
jitter_20pct,1000,0.866,0.872,0.86,0.942004,0
crop_80pct,1000,0.862,0.898,0.826,0.9384520000000001,0
