transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.907,0.986,0.828,0.98218,0
jpeg_q90,1000,0.908,0.986,0.83,0.981964,0
jpeg_q70,1000,0.891,0.988,0.794,0.9819040000000001,0
jpeg_q50,1000,0.9,0.988,0.812,0.98014,0
jpeg_q30,1000,0.881,0.992,0.77,0.980864,0
blur_s0.5,1000,0.91,0.996,0.824,0.986124,0
blur_s1.0,1000,0.907,0.992,0.822,0.9861360000000001,0
blur_s2.0,1000,0.888,0.97,0.806,0.97504,0
resize_0.5x,1000,0.898,0.968,0.828,0.9779239999999999,0
resize_0.25x,1000,0.901,0.966,0.836,0.976668,0
noise_s0.02,1000,0.834,0.996,0.672,0.987596,0
noise_s0.05,1000,0.771,1.0,0.542,0.9884120000000001,0
noise_s0.1,1000,0.725,1.0,0.45,0.991932,0
jitter_20pct,1000,0.891,0.984,0.798,0.982076,0
crop_80pct,1000,0.85,0.994,0.706,0.9779960000000001,0
