transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.917,0.874,0.96,0.984996,0
jpeg_q90,1000,0.923,0.88,0.966,0.984556,0
jpeg_q70,1000,0.937,0.908,0.966,0.986686,0
jpeg_q50,1000,0.922,0.874,0.97,0.983832,0
jpeg_q30,1000,0.941,0.922,0.96,0.986392,0
blur_s0.5,1000,0.939,0.916,0.962,0.988988,0
blur_s1.0,1000,0.948,0.932,0.964,0.9903839999999999,0
blur_s2.0,1000,0.924,0.902,0.946,0.9807640000000001,0
resize_0.5x,1000,0.919,0.874,0.964,0.984652,0
resize_0.25x,1000,0.938,0.912,0.964,0.987336,0
noise_s0.02,1000,0.94,0.942,0.938,0.986384,0
noise_s0.05,1000,0.934,0.956,0.912,0.9872000000000001,0
noise_s0.1,1000,0.948,0.98,0.916,0.991536,0
jitter_20pct,1000,0.926,0.884,0.968,0.984728,0
crop_80pct,1000,0.922,0.916,0.928,0.979956,0
