transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.917,0.874,0.96,0.9850000000000001,0
jpeg_q90,1000,0.923,0.88,0.966,0.984576,0
jpeg_q70,1000,0.937,0.908,0.966,0.986676,0
jpeg_q50,1000,0.922,0.874,0.97,0.98384,0
jpeg_q30,1000,0.941,0.922,0.96,0.9863799999999999,0
blur_s0.5,1000,0.939,0.916,0.962,0.989028,0
blur_s1.0,1000,0.948,0.932,0.964,0.990396,0
blur_s2.0,1000,0.924,0.902,0.946,0.98076,0
resize_0.5x,1000,0.919,0.874,0.964,0.984652,0
resize_0.25x,1000,0.938,0.912,0.964,0.98736,0
jitter_20pct,1000,0.932,0.892,0.972,0.985516,0
crop_80pct,1000,0.922,0.916,0.928,0.979948,0
