transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.923,0.892,0.954,0.984412,0
jpeg_q90,1000,0.925,0.892,0.958,0.9838279999999999,0
jpeg_q70,1000,0.935,0.916,0.954,0.9860559999999999,0
jpeg_q50,1000,0.929,0.896,0.962,0.983276,0
jpeg_q30,1000,0.939,0.932,0.946,0.9858159999999999,0
blur_s0.5,1000,0.938,0.924,0.952,0.988448,0
blur_s1.0,1000,0.945,0.938,0.952,0.9895680000000001,0
blur_s2.0,1000,0.923,0.91,0.936,0.979348,0
resize_0.5x,1000,0.92,0.886,0.954,0.9837119999999999,0
resize_0.25x,1000,0.933,0.916,0.95,0.9858279999999999,0
noise_s0.02,1000,0.937,0.952,0.922,0.985828,0
noise_s0.05,1000,0.933,0.962,0.904,0.986732,0
noise_s0.1,1000,0.938,0.982,0.894,0.991216,0
jitter_20pct,1000,0.929,0.906,0.952,0.984112,0
crop_80pct,1000,0.92,0.928,0.912,0.9791799999999999,0
