transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.883,0.77,0.996,0.9873999999999999,0
jpeg_q90,1000,0.872,0.75,0.994,0.9860639999999999,0
jpeg_q70,1000,0.892,0.792,0.992,0.9877879999999999,0
jpeg_q50,1000,0.877,0.76,0.994,0.9856560000000001,0
jpeg_q30,1000,0.901,0.812,0.99,0.98832,0
blur_s0.5,1000,0.905,0.816,0.994,0.990636,0
blur_s1.0,1000,0.925,0.856,0.994,0.991744,0
blur_s2.0,1000,0.895,0.798,0.992,0.982912,0
resize_0.5x,1000,0.894,0.794,0.994,0.988092,0
resize_0.25x,1000,0.903,0.814,0.992,0.989108,0
jitter_20pct,1000,0.893,0.792,0.994,0.9871399999999999,0
crop_80pct,1000,0.895,0.802,0.988,0.9835520000000001,0
