transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,2000,0.811,0.805,0.817,0.901221,0
jpeg_q90,2000,0.8235,0.842,0.805,0.9118959999999999,0
jpeg_q70,2000,0.8045,0.82,0.789,0.891029,0
jpeg_q50,2000,0.766,0.718,0.814,0.859975,0
jpeg_q30,2000,0.765,0.739,0.791,0.859571,0
blur_s0.5,2000,0.836,0.861,0.811,0.9234289999999999,0
blur_s1.0,2000,0.851,0.908,0.794,0.9374330000000001,0
blur_s2.0,2000,0.7455,0.738,0.753,0.83817,0
resize_0.5x,2000,0.8225,0.825,0.82,0.909463,0
resize_0.25x,2000,0.764,0.724,0.804,0.8620840000000001,0
noise_s0.02,2000,0.766,0.773,0.759,0.8499925,0
noise_s0.05,2000,0.7255,0.735,0.716,0.805363,0
noise_s0.1,2000,0.726,0.743,0.709,0.809936,0
jitter_20pct,2000,0.803,0.8,0.806,0.8949199999999999,0
crop_80pct,2000,0.8005,0.825,0.776,0.881145,0
