transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.861,0.92,0.802,0.947136,0
jpeg_q90,1000,0.867,0.938,0.796,0.9505239999999999,0
jpeg_q70,1000,0.857,0.94,0.774,0.942296,0
jpeg_q50,1000,0.841,0.882,0.8,0.914968,0
jpeg_q30,1000,0.843,0.906,0.78,0.930596,0
blur_s0.5,1000,0.879,0.96,0.798,0.963336,0
blur_s1.0,1000,0.878,0.97,0.786,0.968596,0
blur_s2.0,1000,0.825,0.89,0.76,0.907556,0
resize_0.5x,1000,0.856,0.908,0.804,0.935568,0
resize_0.25x,1000,0.856,0.894,0.818,0.9381360000000001,0
noise_s0.02,1000,0.83,0.914,0.746,0.919124,0
noise_s0.05,1000,0.81,0.888,0.732,0.889012,0
noise_s0.1,1000,0.809,0.89,0.728,0.9023639999999999,0
jitter_20pct,1000,0.856,0.918,0.794,0.9412600000000001,0
crop_80pct,1000,0.831,0.94,0.722,0.9258799999999998,0
