transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.934,0.882,0.986,0.990364,0
jpeg_q90,1000,0.932,0.884,0.98,0.989948,0
jpeg_q70,1000,0.923,0.892,0.954,0.983068,0
jpeg_q50,1000,0.908,0.848,0.968,0.9803599999999999,0
jpeg_q30,1000,0.933,0.916,0.95,0.9867759999999999,0
blur_s0.5,1000,0.949,0.92,0.978,0.9911359999999999,0
blur_s1.0,1000,0.949,0.936,0.962,0.987656,0
blur_s2.0,1000,0.921,0.896,0.946,0.9754320000000001,0
resize_0.5x,1000,0.925,0.874,0.976,0.986868,0
resize_0.25x,1000,0.924,0.934,0.914,0.974932,0
noise_s0.02,1000,0.933,0.92,0.946,0.982952,0
noise_s0.05,1000,0.93,0.914,0.946,0.982748,0
noise_s0.1,1000,0.922,0.932,0.912,0.9774919999999999,0
jitter_20pct,1000,0.924,0.87,0.978,0.9870960000000001,0
crop_80pct,1000,0.934,0.89,0.978,0.9890319999999999,0
