transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.936,0.886,0.986,0.9902760000000002,0
jpeg_q90,1000,0.934,0.888,0.98,0.99006,0
jpeg_q70,1000,0.927,0.902,0.952,0.9829760000000001,0
jpeg_q50,1000,0.909,0.85,0.968,0.9801119999999999,0
jpeg_q30,1000,0.934,0.918,0.95,0.9868759999999999,0
blur_s0.5,1000,0.95,0.924,0.976,0.991196,0
blur_s1.0,1000,0.949,0.938,0.96,0.9876480000000001,0
blur_s2.0,1000,0.919,0.894,0.944,0.975084,0
resize_0.5x,1000,0.926,0.876,0.976,0.9867840000000001,0
resize_0.25x,1000,0.923,0.93,0.916,0.974676,0
noise_s0.02,1000,0.931,0.918,0.944,0.982912,0
noise_s0.05,1000,0.929,0.91,0.948,0.982668,0
noise_s0.1,1000,0.922,0.93,0.914,0.976928,0
jitter_20pct,1000,0.925,0.872,0.978,0.9870320000000001,0
crop_80pct,1000,0.938,0.898,0.978,0.9890479999999999,0
