transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.879,0.964,0.794,0.963,0
jpeg_q90,1000,0.872,0.962,0.782,0.960948,0
jpeg_q70,1000,0.86,0.956,0.764,0.952114,0
jpeg_q50,1000,0.855,0.932,0.778,0.937876,0
jpeg_q30,1000,0.843,0.942,0.744,0.9339259999999999,0
blur_s0.5,1000,0.881,0.976,0.786,0.9728840000000001,0
blur_s1.0,1000,0.866,0.978,0.754,0.9745240000000001,0
blur_s2.0,1000,0.799,0.876,0.722,0.891394,0
resize_0.5x,1000,0.858,0.928,0.788,0.9515339999999999,0
resize_0.25x,1000,0.846,0.896,0.796,0.9213899999999999,0
noise_s0.02,1000,0.801,0.936,0.666,0.92134,0
noise_s0.05,1000,0.773,0.904,0.642,0.8841540000000001,0
noise_s0.1,1000,0.765,0.884,0.646,0.8785959999999999,0
jitter_20pct,1000,0.863,0.952,0.774,0.9582120000000001,0
crop_80pct,1000,0.799,0.97,0.628,0.9394480000000001,0
