transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.87,0.854,0.886,0.9398160000000001,0
jpeg_q90,1000,0.866,0.848,0.884,0.938148,0
jpeg_q70,1000,0.846,0.848,0.844,0.931492,0
jpeg_q50,1000,0.832,0.842,0.822,0.917812,0
jpeg_q30,1000,0.857,0.91,0.804,0.943964,0
blur_s0.5,1000,0.885,0.888,0.882,0.9534520000000001,0
blur_s1.0,1000,0.896,0.922,0.87,0.9633839999999999,0
blur_s2.0,1000,0.877,0.928,0.826,0.95184,0
resize_0.5x,1000,0.874,0.864,0.884,0.947284,0
resize_0.25x,1000,0.913,0.956,0.87,0.9780800000000001,0
noise_s0.02,1000,0.863,0.886,0.84,0.9415679999999998,0
noise_s0.05,1000,0.824,0.904,0.744,0.9233199999999999,0
noise_s0.1,1000,0.829,0.932,0.726,0.937764,0
jitter_20pct,1000,0.852,0.834,0.87,0.933308,0
crop_80pct,1000,0.855,0.862,0.848,0.934388,0
