transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.877,0.872,0.882,0.948016,0
jpeg_q90,1000,0.88,0.878,0.882,0.949092,0
jpeg_q70,1000,0.864,0.882,0.846,0.9449919999999998,0
jpeg_q50,1000,0.842,0.85,0.834,0.929648,0
jpeg_q30,1000,0.866,0.918,0.814,0.9510000000000001,0
blur_s0.5,1000,0.898,0.912,0.884,0.9610960000000001,0
blur_s1.0,1000,0.9,0.93,0.87,0.967356,0
blur_s2.0,1000,0.862,0.904,0.82,0.946952,0
resize_0.5x,1000,0.875,0.87,0.88,0.94944,0
resize_0.25x,1000,0.909,0.944,0.874,0.975384,0
noise_s0.02,1000,0.879,0.924,0.834,0.945276,0
noise_s0.05,1000,0.83,0.914,0.746,0.9259199999999999,0
noise_s0.1,1000,0.839,0.94,0.738,0.9378359999999999,0
jitter_20pct,1000,0.866,0.87,0.862,0.9410080000000001,0
crop_80pct,1000,0.86,0.89,0.83,0.940568,0
