transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.861,0.836,0.886,0.9363160000000001,0
jpeg_q90,1000,0.858,0.832,0.884,0.936464,0
jpeg_q70,1000,0.847,0.844,0.85,0.9313520000000001,0
jpeg_q50,1000,0.817,0.822,0.812,0.9159,0
jpeg_q30,1000,0.857,0.916,0.798,0.9454600000000001,0
blur_s0.5,1000,0.885,0.884,0.886,0.95128,0
blur_s1.0,1000,0.898,0.924,0.872,0.9626,0
blur_s2.0,1000,0.88,0.936,0.824,0.9552479999999999,0
resize_0.5x,1000,0.877,0.866,0.888,0.947532,0
resize_0.25x,1000,0.912,0.964,0.86,0.9823559999999999,0
noise_s0.02,1000,0.864,0.882,0.846,0.94478,0
noise_s0.05,1000,0.828,0.908,0.748,0.9271959999999999,0
noise_s0.1,1000,0.838,0.942,0.734,0.943284,0
jitter_20pct,1000,0.855,0.838,0.872,0.930256,0
crop_80pct,1000,0.857,0.856,0.858,0.933324,0
