transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.501,0.002,1.0,0.5198400000000001,0
jpeg_q90,1000,0.501,0.002,1.0,0.543072,0
jpeg_q70,1000,0.5,0.0,1.0,0.52622,0
jpeg_q50,1000,0.501,0.002,1.0,0.5394559999999999,0
jpeg_q30,1000,0.506,0.012,1.0,0.686492,0
blur_s0.5,1000,0.501,0.002,1.0,0.566724,0
blur_s1.0,1000,0.502,0.004,1.0,0.7363679999999999,0
blur_s2.0,1000,0.547,0.094,1.0,0.896544,0
resize_0.5x,1000,0.504,0.008,1.0,0.7430380000000001,0
resize_0.25x,1000,0.679,0.358,1.0,0.976896,0
noise_s0.02,1000,0.501,0.002,1.0,0.6883640000000001,0
noise_s0.05,1000,0.501,0.002,1.0,0.66172,0
noise_s0.1,1000,0.504,0.008,1.0,0.757432,0
jitter_20pct,1000,0.5,0.0,1.0,0.537162,0
crop_80pct,1000,0.507,0.014,1.0,0.7815679999999999,0
