transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.892,0.994,0.79,0.982716,0
jpeg_q90,1000,0.891,0.994,0.788,0.9816799999999999,0
jpeg_q70,1000,0.873,0.994,0.752,0.982156,0
jpeg_q50,1000,0.879,0.994,0.764,0.980828,0
jpeg_q30,1000,0.855,0.994,0.716,0.982792,0
blur_s0.5,1000,0.889,0.996,0.782,0.985996,0
blur_s1.0,1000,0.884,0.992,0.776,0.984264,0
blur_s2.0,1000,0.872,0.976,0.768,0.975244,0
resize_0.5x,1000,0.886,0.988,0.784,0.9773280000000001,0
resize_0.25x,1000,0.888,0.982,0.794,0.9738119999999999,0
noise_s0.02,1000,0.796,1.0,0.592,0.988572,0
noise_s0.05,1000,0.723,1.0,0.446,0.9898199999999999,0
noise_s0.1,1000,0.676,1.0,0.352,0.993244,0
jitter_20pct,1000,0.869,0.992,0.746,0.982484,0
crop_80pct,1000,0.811,0.996,0.626,0.977208,0
