transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,40,0.975,0.95,1.0,1.0,0
jpeg_q90,40,1.0,1.0,1.0,1.0,0
jpeg_q70,40,1.0,1.0,1.0,1.0,0
jpeg_q50,40,1.0,1.0,1.0,1.0,0
jpeg_q30,40,1.0,1.0,1.0,1.0,0
blur_s0.5,40,1.0,1.0,1.0,1.0,0
blur_s1.0,40,1.0,1.0,1.0,1.0,0
blur_s2.0,40,0.975,1.0,0.95,0.9974999999999999,0
resize_0.5x,40,1.0,1.0,1.0,1.0,0
resize_0.25x,40,1.0,1.0,1.0,1.0,0
noise_s0.02,40,0.95,0.95,0.95,0.9974999999999999,0
noise_s0.05,40,0.95,0.95,0.95,0.9974999999999999,0
noise_s0.1,40,0.95,1.0,0.9,1.0,0
jitter_20pct,40,0.975,0.95,1.0,0.995,0
crop_80pct,40,0.975,1.0,0.95,1.0,0
