transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.984,0.978,0.99,0.9984879999999999,0
jpeg_q90,1000,0.979,0.968,0.99,0.998152,0
jpeg_q70,1000,0.977,0.974,0.98,0.997952,0
jpeg_q50,1000,0.979,0.97,0.988,0.998316,0
jpeg_q30,1000,0.979,0.972,0.986,0.998096,0
blur_s0.5,1000,0.985,0.98,0.99,0.9988319999999999,0
blur_s1.0,1000,0.989,0.988,0.99,0.999036,0
blur_s2.0,1000,0.98,0.976,0.984,0.9977119999999999,0
resize_0.5x,1000,0.989,0.988,0.99,0.999208,0
resize_0.25x,1000,0.985,0.982,0.988,0.998572,0
noise_s0.02,1000,0.973,0.994,0.952,0.9978319999999999,0
noise_s0.05,1000,0.961,0.978,0.944,0.995352,0
noise_s0.1,1000,0.967,0.986,0.948,0.995916,0
jitter_20pct,1000,0.978,0.97,0.986,0.9973040000000001,0
crop_80pct,1000,0.982,0.986,0.978,0.9978279999999999,0
