transform,n,accuracy,real_acc,ai_acc,auroc,skipped
clean,1000,0.877,0.906,0.848,0.950848,0
jpeg_q90,1000,0.877,0.91,0.844,0.947144,0
jpeg_q70,1000,0.884,0.912,0.856,0.952664,0
jpeg_q50,1000,0.857,0.862,0.852,0.937284,0
jpeg_q30,1000,0.886,0.904,0.868,0.9493679999999999,0
blur_s0.5,1000,0.886,0.926,0.846,0.957804,0
blur_s1.0,1000,0.888,0.938,0.838,0.961236,0
blur_s2.0,1000,0.856,0.878,0.834,0.9218999999999999,0
resize_0.5x,1000,0.881,0.912,0.85,0.955016,0
resize_0.25x,1000,0.883,0.916,0.85,0.948384,0
noise_s0.02,1000,0.856,0.948,0.764,0.9472679999999999,0
noise_s0.05,1000,0.835,0.946,0.724,0.9486599999999998,0
noise_s0.1,1000,0.846,0.964,0.728,0.960516,0
jitter_20pct,1000,0.875,0.904,0.846,0.9468840000000001,0
crop_80pct,1000,0.837,0.914,0.76,0.932744,0
